timestamp,open,high,low,close,volume
2025-01-22 19:00:00,223.2600,223.2600,222.5000,222.5000,547510
2025-01-22 18:00:00,223.2000,223.2600,222.5000,222.5000,547637
2025-01-22 17:00:00,223.2000,223.2600,220.7640,223.2300,821
2025-01-22 16:00:00,223.2000,223.4600,220.5000,223.2600,2584717
2025-01-22 15:00:00,224.2300,224.2300,222.5000,223.2200,949129
2025-01-22 14:00:00,223.6500,224.4000,223.1400,224.2600,230657
2025-01-22 13:00:00,222.6950,224.1900,222.6200,223.7250,344969
2025-01-22 12:00:00,222.2100,223.5000,221.9000,222.6920,313458
2025-01-22 11:00:00,221.0100,222.8200,220.8400,222.2400,462118
2025-01-22 10:00:00,221.5600,222.0992,220.5000,220.9000,531196
2025-01-22 09:00:00,220.9000,222.9900,220.3500,221.4450,405913
2025-01-22 08:00:00,221.0800,225.8988,220.6000,220.9000,13560
2025-01-22 07:00:00,221.4100,222.0000,220.6100,221.2700,7288
2025-01-22 06:00:00,224.4500,224.4900,219.8100,220.7500,10903
2025-01-22 05:00:00,224.5200,224.5800,224.1700,224.4300,411
2025-01-22 04:00:00,224.3700,224.8300,224.1300,224.5400,1270
2025-01-21 19:00:00,224.2600,224.7000,223.9900,224.0000,524448
2025-01-21 18:00:00,224.0300,224.7000,224.0100,224.0400,524464
2025-01-21 17:00:00,224.5000,224.7000,224.0200,224.2600,3097
2025-01-21 16:00:00,224.2400,224.7000,221.8600,224.7000,1817238
2025-01-21 15:00:00,223.2100,224.4700,223.1200,224.2900,575398
2025-01-21 14:00:00,223.0649,224.0700,222.8302,223.1200,375984
2025-01-21 13:00:00,224.4150,224.9700,222.9300,223.0000,414413
2025-01-21 12:00:00,226.5000,226.5115,224.4100,224.4150,370697
2025-01-21 11:00:00,226.0300,226.7400,225.5300,226.5500,413901
2025-01-21 10:00:00,225.6100,227.4500,225.0000,226.0200,575687
2025-01-21 09:00:00,225.4700,226.0000,223.1498,225.6506,476645
2025-01-21 08:00:00,225.4200,225.9182,224.0012,225.4999,2025
2025-01-21 07:00:00,225.4100,225.6800,225.3600,225.6000,816
2025-01-21 06:00:00,225.7000,225.9300,225.3200,225.4000,440
2025-01-21 05:00:00,225.8000,226.2700,225.6100,225.6100,265
2025-01-21 04:00:00,225.6600,225.8100,224.5800,225.4100,844
2025-01-17 19:00:00,224.7900,224.9900,224.5122,224.9778,1555845
2025-01-17 18:00:00,224.8100,224.9900,224.5000,224.9778,1530884
2025-01-17 17:00:00,224.5300,225.0000,224.5122,224.9900,76
2025-01-17 16:00:00,224.7200,225.0000,224.2000,224.9000,4760154
2025-01-17 15:00:00,224.6400,225.0500,224.4500,224.7200,747561
2025-01-17 14:00:00,224.3100,225.0400,224.0800,224.6400,1272551
2025-01-17 13:00:00,224.9600,224.9800,224.0900,224.2295,205075
2025-01-17 12:00:00,225.1050,225.3366,224.5801,224.9800,196788
2025-01-17 11:00:00,224.7800,225.8800,224.7300,225.1400,228407
2025-01-17 10:00:00,224.8300,224.8300,223.7900,224.8300,238150
2025-01-17 09:00:00,223.9900,227.2400,219.6900,224.8600,891313
2025-01-17 08:00:00,223.4500,224.0000,222.2400,223.9000,2042
2025-01-17 07:00:00,223.2500,223.5900,223.1000,223.5700,769
2025-01-17 06:00:00,223.5000,223.8100,223.2200,223.4400,458
2025-01-17 05:00:00,223.8400,223.8400,223.1600,223.6600,177
2025-01-17 04:00:00,222.2400,223.6200,222.2400,223.5000,547
2025-01-16 19:00:00,222.6600,222.6600,222.0000,222.5800,473158
2025-01-16 18:00:00,222.3100,222.6600,222.0000,222.6600,473646
