timestamp,open,high,low,close,volume
2025-01-22,221.98,224.4,220.35,223.26,4759490
2025-01-21,224.99,227.45,222.8302,224.26,3982203
2025-01-17,225.955,225.955,223.64,224.79,5506837
2025-01-16,219.69,222.68,217.38,222.66,3329060
2025-01-15,220.87,221.6761,218.01,220.03,2951825
2025-01-14,218.0,218.125,214.61,217.75,3485829
2025-01-13,217.89,219.59,214.75,217.4,3716816
2025-01-10,222.0,222.43,216.8,219.75,3570497
2025-01-08,223.91,224.9,220.83,223.18,2619768
2025-01-07,223.35,226.711,222.83,223.96,3299701
2025-01-06,223.0,224.35,220.75,222.67,2847128
2025-01-03,220.55,223.66,220.55,222.65,3873578
2025-01-02,221.82,222.49,217.6,219.94,2579498
2024-12-31,220.72,221.0493,218.44,219.83,2270512
2024-12-30,220.54,221.5942,217.6523,220.25,2095565
2024-12-27,223.14,224.42,221.4054,222.78,1810760
2024-12-26,223.31,225.4,222.55,224.89,3287238
2024-12-24,222.27,224.4446,221.5428,224.41,1186216
2024-12-23,222.81,223.74,221.08,221.93,2988137
2024-12-20,222.73,227.6847,221.68,223.36,12423200
2024-12-19,224.42,226.2,222.98,223.92,4430120
2024-12-18,229.035,229.035,220.03,220.17,4152517
2024-12-17,229.23,230.2,227.62,228.97,3651346
2024-12-16,230.73,231.03,226.88,229.33,3610257
2024-12-13,232.25,233.775,230.26,230.82,2757683
2024-12-12,230.66,233.89,230.38,232.26,4515741
2024-12-11,232.69,233.0,229.13,230.12,3872680
2024-12-10,228.4,234.39,227.8,231.72,4769531
2024-12-09,238.0,239.35,228.91,230.0,4970449
2024-12-06,234.43,238.38,234.22,238.04,4028430
2024-12-05,233.55,236.52,233.46,234.75,4791116
2024-12-04,230.0,233.74,229.35,233.49,4104195
2024-12-03,227.24,229.11,226.67,229.0,3163815
2024-12-02,227.5,228.38,225.51,227.39,2656181
2024-11-29,227.75,230.36,227.19,227.41,2640253
2024-11-27,228.83,229.19,224.27,226.92,2995121
2024-11-26,226.73,228.98,225.5115,228.83,4449543
2024-11-25,223.35,226.42,222.65,226.13,7189260
2024-11-22,223.35,227.2,220.89,222.97,5320740
2024-11-21,215.81,222.63,215.2701,222.4,5236434
2024-11-20,211.0,214.96,209.7725,214.6,4562901
2024-11-19,206.5,210.33,206.19,210.25,2860746
2024-11-18,207.0,208.415,205.3701,208.09,3406045
2024-11-15,207.46,208.49,204.07,204.99,3986460
2024-11-14,210.0,210.4999,206.35,208.99,6372853
2024-11-13,209.5,211.41,209.0701,210.92,3247830
2024-11-12,211.9,213.03,209.06,210.86,2818216
2024-11-11,214.4,215.41,213.48,213.57,3012987
2024-11-08,214.16,216.7,212.7809,213.72,3201038
2024-11-07,213.64,214.5199,211.93,213.69,3675812
2024-11-06,213.48,214.33,210.37,213.6,3934386
2024-11-05,206.17,208.115,205.57,207.57,2441535
2024-11-04,207.65,207.7,205.8,206.32,2594119
2024-11-01,207.77,209.84,207.41,208.25,3334308
2024-10-31,204.13,208.13,203.51,206.72,5925250
2024-10-30,209.48,211.12,204.26,204.9,6956624
2024-10-29,211.99,213.34,209.85,210.43,5258366
2024-10-28,215.5,216.25,212.7,212.91,4993343
2024-10-25,216.8,218.65,214.385,214.67,8482235
2024-10-24,220.8,221.32,216.16,218.39,11193440
2024-10-23,230.41,233.34,230.26,232.75,5791002
2024-10-22,231.99,232.97,230.67,232.25,3180807
2024-10-21,231.21,232.42,230.26,231.75,2733336
2024-10-18,231.92,232.6499,230.17,232.2,4715688
2024-10-17,232.0,233.145,230.655,232.88,5040092
2024-10-16,232.11,233.88,231.12,233.67,2846669
2024-10-15,236.4,237.37,232.71,232.96,3350556
2024-10-14,233.57,236.12,233.17,235.26,2524389
2024-10-11,233.25,233.44,230.46,233.26,3469322
2024-10-10,235.1,235.83,231.81,233.02,3142031
2024-10-09,229.2,234.95,228.5,234.3,5083566
2024-10-08,228.11,229.345,227.0401,228.62,3245342
2024-10-07,225.38,227.67,225.02,227.12,3457952
2024-10-04,223.75,226.08,223.27,226.0,3554328
2024-10-03,219.5,222.83,219.27,222.72,3788265
2024-10-02,218.31,220.2,215.798,219.73,3343399
2024-10-01,220.63,221.1,215.9,219.35,3548374
2024-09-30,220.65,221.32,219.02,221.08,3544264
2024-09-27,223.0,224.15,220.77,220.84,3830335
2024-09-26,222.11,224.0,221.355,223.43,2673210
2024-09-25,221.17,221.85,220.16,221.23,2537751
2024-09-24,219.78,221.19,218.16,220.97,3184114
2024-09-23,218.0,220.62,217.27,220.5,4074755
2024-09-20,214.33,217.85,213.74,217.7,9958980
2024-09-19,218.01,218.48,210.37,213.89,5279559
2024-09-18,214.13,216.86,213.59,214.94,3482764
2024-09-17,217.25,218.84,213.0,214.13,5635210
2024-09-16,215.88,217.9,215.52,217.16,4176257
2024-09-13,212.48,216.09,212.13,214.79,4572344
2024-09-12,210.0,212.65,208.265,211.61,4616446
2024-09-11,207.76,210.12,203.04,209.89,5554309
2024-09-10,204.2,205.83,202.87,205.32,3070644
2024-09-09,201.94,205.05,201.43,203.53,3705004
2024-09-06,202.38,204.1,199.335,200.74,3304491
2024-09-05,204.08,205.95,200.96,202.59,3229345
2024-09-04,200.76,204.36,200.5,204.11,3111332
2024-09-03,201.91,204.72,200.21,201.28,3874697
2024-08-30,199.11,202.17,198.73,202.13,4750999
2024-08-29,199.3,201.12,198.27,198.9,2989594
2024-08-28,199.0,200.0,197.49,198.46,2645244
